sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname
,,3.222975318,,,1.47,,558.65,1239.0,,5823.0,0.96,,,4.427,,14.609,,,K01338.01
,,3.9813082,,,2.36323,,986.754,1561.0,,6011.9,1.16,,,4.36,,,,,4602.01
,,16.88954693,,,,,,,,,,,,,,14.736,,,K00594.01
,,4.30438,,,13.7564,,503.88,1319.0,,6056.9,4.82,,,4.17,,,,,988.01
,,1.633107509,,,0.53,,324.97,1083.0,,4579.0,0.684,,,4.596,,12.843,,,K00309.01
,,1.49861,,,,,90202.8,4828.0,,8590.0,,,,4.12,,,,,1309.01
,,4.029803201,,,47.58,,545.64,1233.0,,6024.0,1.078,,,4.385,,16.936,,,K03648.01
,,0.52880817,,,1.84,,37880.12,3558.0,,6224.0,2.368,,,3.815,,13.274,,,K06770.01
,,0.892061734,,,46.75,,2090.54,1724.0,,5561.0,0.855,,,4.512,,13.815,,,K06337.01
,,284.063137,,,6.36,,2.51,321.0,,5791.0,1.336,,,4.185,,13.929,,,K01783.02
,,527.68601,,,2.0,,0.4,203.0,,5657.0,0.824,,,4.567,,15.031,,,K08247.01
1.0,4.0,8.4112,0.0763,0.12,,4.33,,,0.0,5261.0,0.88,0.837,0.04,,47.2899,8.97,7.066,8.76221,HD 3167
1.0,2.0,5.3301,0.0426,,1.2327,,69.529,,0.0,4116.0,0.7,0.808,-0.205,4.656,285.162,15.013,11.86,14.5773,K2-413
,,45.3968385,,,21.23,,8.62,437.0,,5649.0,0.705,,,4.633,,15.024,,,K01859.01
,,3.1442556,,,4.69096,,685.022,1425.0,,5691.0,1.0,,,4.45,,,,,4605.01
,,4.309381978,,,1.89,,390.76,1134.0,,5541.0,1.089,,,4.332,,14.619,,,K00456.02
1.0,0.0,2.612938,,,,,,,0.0,5014.02,4.77742,,0.0857,,556.574,11.0221,8.838,10.7834,EPIC 211839430
1.0,1.0,8.679885,,,2.56948149,,,,0.0,5757.0,1.008231,1.047488,0.25,4.45,394.083,12.92,11.206,12.7137,K2-218
,,9.543584955,,,77.97,,401.55,1141.0,,5537.0,1.785,,,3.837,,12.256,,,K06400.01
,,5.17958,,,14.829,,669.018,1416.0,,6116.0,1.65,,,4.07,,,,,1921.01
,,0.837898153,,,1.26,,1128.57,1478.0,,4748.0,0.797,,,4.526,,15.72,,,K01731.02
,,3.690317047,,,20.23,,634.09,1280.0,,6120.0,1.054,,,4.395,,14.336,,,K01694.01
,,8.63050092,,,1.43,,70.63,739.0,,5352.0,0.764,,,4.599,,15.868,,,K02617.01
3.0,2.0,9.21165,0.0923,0.0,3.06,10.9,,1230.0,0.0,6302.0,1.511,1.194,-0.06,4.23,272.909,11.114,9.42,10.8204,K2-290
,,11.95474513,,,5.15,,159.04,906.0,,5059.0,1.657,,,3.976,,13.594,,,K00650.01
,,498.68845,,,2.44,,0.87,246.0,,6184.0,1.038,,,4.448,,15.166,,,K07537.01
,,3.709214104,,,1.16,,500.46,1206.0,,5833.0,1.022,,,4.407,,12.772,,,K00112.02
,,2.1176601,,,5.16544,,12280.2,2932.0,,5814.0,0.89,,,4.56,,,,,3948.01
,,7.448375935,,,34.37,,136.18,871.0,,5636.0,0.867,,,4.489,,15.178,,,K07273.01
,,13.75207851,,,2.81,,22.57,556.0,,4802.0,0.699,,,4.616,,15.587,,,K01569.01
,,2.99792926,,,1.12,,1611.51,1616.0,,5888.0,1.645,,,4.061,,12.003,,,K03008.01
,,15.0539886,,,1.44,,46.3,665.0,,5475.0,0.818,,,4.479,,14.503,,,K02483.01
